Project ID,Project Name,Team ID,Team Name,Backlog ID,Backlog Level Name,Rank,Work Item Count Limit
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,6504e74a-baf9-408b-baa9-ef7279e5350c,TeamDynamicGroups,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,6504e74a-baf9-408b-baa9-ef7279e5350c,TeamDynamicGroups,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
