Reference Name,Display Name,Description,Type,Usage,Is Queryable,Can Sort By,Is Identity,Is Picklist,Picklist ID,Is Picklist Suggested,Read Only,Is Locked,Supported Operations Count,URL
Microsoft.VSTS.CMMI.ActualAttendee3,Actual Attendee 3,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee3
Microsoft.VSTS.CMMI.ActualAttendee4,Actual Attendee 4,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee4
Microsoft.VSTS.CMMI.ActualAttendee5,Actual Attendee 5,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee5
Microsoft.VSTS.CMMI.ActualAttendee6,Actual Attendee 6,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee6
Microsoft.VSTS.CMMI.ActualAttendee7,Actual Attendee 7,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee7
Microsoft.VSTS.CMMI.ActualAttendee8,Actual Attendee 8,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee8
Custom.AffectedServices,Affected Services,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.AffectedServices
Custom.AffectedVersion,Affected Version,,string,workItem,True,True,False,True,d6741f8b-be7d-4ef5-82b4-92b0bd2c8574,True,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.AffectedVersion
Microsoft.VSTS.CMMI.Analysis,Analysis,The analysis of the issue including root cause identification and potential solutions,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.Analysis
Microsoft.VSTS.Feedback.ApplicationLaunchInstructions,Application Launch Instructions,Instructions to launch the specified application,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Feedback.ApplicationLaunchInstructions
Microsoft.VSTS.Feedback.ApplicationStartInformation,Application Start Information,The path to execute the application,plainText,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Feedback.ApplicationStartInformation
Microsoft.VSTS.Feedback.ApplicationType,Application Type,The type of application on which to give feedback,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Feedback.ApplicationType
Custom.ApprovedbyTechComm,Approved by Tech Comm,,boolean,workItem,True,True,False,False,,False,False,False,5,https://dev.azure.com/1id/_apis/wit/fields/Custom.ApprovedbyTechComm
Custom.Approvers,Approvers,,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Custom.Approvers
Custom.ArchitectureForum,Architecture Forum,,string,workItem,True,True,False,True,7f3be36c-7c17-4580-81ef-cdcdb6fa2f80,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.ArchitectureForum
System.AreaId,Area ID,,integer,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/System.AreaId
System.AreaLevel1,Area Level 1,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel1
System.AreaLevel2,Area Level 2,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel2
System.AreaLevel3,Area Level 3,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel3
System.AreaLevel4,Area Level 4,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel4
System.AreaLevel5,Area Level 5,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel5
System.AreaLevel6,Area Level 6,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel6
System.AreaLevel7,Area Level 7,,string,workItem,True,True,False,False,,False,False,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AreaLevel7
System.AreaPath,Area Path,The area of the product with which this bug is associated,treePath,workItem,True,True,False,False,,False,False,False,6,https://dev.azure.com/1id/_apis/wit/fields/System.AreaPath
System.AssignedTo,Assigned To,The person currently working on this bug,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/System.AssignedTo
Microsoft.VSTS.CodeReview.Context,Associated Context,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.Context
Microsoft.VSTS.CodeReview.ContextCode,Associated Context Code,,integer,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ContextCode
Microsoft.VSTS.CodeReview.ContextOwner,Associated Context Owner,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ContextOwner
Microsoft.VSTS.CodeReview.ContextType,Associated Context Type,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ContextType
System.AttachedFileCount,Attached File Count,,integer,workItem,True,True,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.AttachedFileCount
System.AttachedFiles,Attached Files,,string,workItem,False,False,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/System.AttachedFiles
System.AuthorizedAs,Authorized As,,string,workItem,True,True,True,False,,False,True,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.AuthorizedAs
System.AuthorizedDate,Authorized Date,,dateTime,workItem,True,True,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.AuthorizedDate
Microsoft.VSTS.TCM.AutomatedTestId,Automated Test Id,The ID of the test that automates this test case,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.TCM.AutomatedTestId
Microsoft.VSTS.TCM.AutomatedTestName,Automated Test Name,The name of the test that automates this test case,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.TCM.AutomatedTestName
Microsoft.VSTS.TCM.AutomatedTestStorage,Automated Test Storage,The assembly containing the test that automates this test case,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.TCM.AutomatedTestStorage
